frame_id,num_person,pose_1,in_bed_1,pose_2,in_bed_2,anomaly
0,2,2,0,0,1,0
1,2,2,0,0,1,0
2,2,2,0,0,1,0
3,2,2,0,0,1,0
4,2,2,0,0,1,0
5,2,2,0,0,1,0
6,2,2,0,0,1,0
7,2,2,0,0,1,0
8,2,2,0,0,1,0
9,2,2,0,0,1,0
10,2,2,0,0,1,0
11,2,2,0,0,1,0
12,2,2,0,0,1,0
13,2,2,0,0,1,0
14,2,2,0,0,1,0
15,2,2,0,0,1,0
16,3,2,0,0,1,0
17,3,2,0,0,1,0
18,3,2,0,0,1,0
19,3,2,0,0,1,0
20,3,2,0,0,1,0
21,3,2,0,0,1,0
22,3,2,0,0,1,0
23,3,2,0,0,1,0
24,3,2,0,0,1,0
25,3,2,0,0,1,0
26,3,2,0,0,1,0
27,3,2,0,0,1,0
28,3,2,0,0,1,0
29,3,2,0,0,1,0
30,3,2,0,0,1,0
31,3,2,0,0,1,0
32,3,2,0,0,1,0
33,3,2,0,0,1,0
34,3,2,0,0,1,0
35,3,2,0,0,1,0
36,3,2,0,0,1,0
37,3,2,0,0,1,0
38,3,2,0,0,1,0
39,3,2,0,0,1,0
40,3,2,0,0,1,0
41,3,2,0,0,1,0
42,3,2,0,0,1,0
43,3,2,0,0,1,0
44,3,2,0,0,1,0
45,3,2,0,0,1,0
46,3,2,0,0,1,0
47,3,2,0,0,1,0
48,3,2,0,0,1,0
49,3,2,0,0,1,0
50,3,2,0,0,1,0
51,3,2,0,0,1,0
52,3,2,0,0,1,0
53,3,2,0,0,1,0
54,3,2,0,0,1,0
55,3,2,0,0,1,0
56,3,2,0,0,1,0
57,3,2,0,0,1,0
58,3,2,0,0,1,0
59,3,2,0,0,1,0
60,3,2,0,0,1,0
61,3,2,0,0,1,0
62,3,2,0,0,1,0
63,3,2,0,0,1,0
64,3,2,0,0,1,0
65,3,2,0,0,1,0
66,3,2,0,0,1,0
67,3,2,0,0,1,0
68,3,2,0,0,1,0
69,3,2,0,0,1,0
70,3,2,0,0,1,0
71,3,2,0,0,1,0
72,3,2,0,0,1,0
73,3,2,0,0,1,0
74,3,2,0,0,1,0
75,3,2,0,0,1,0
76,3,2,0,0,1,0
77,3,2,0,0,1,0
78,3,2,0,0,1,0
79,3,2,0,0,1,0
80,3,2,0,0,1,0
81,3,2,0,0,1,0
82,3,2,0,0,1,0
83,3,2,0,0,1,0
84,3,2,0,0,1,0
85,3,2,0,0,1,0
86,2,2,0,0,1,0
87,2,2,0,0,1,0
88,2,2,0,0,1,0
89,2,2,0,0,1,0
90,2,2,0,0,1,0
91,2,2,0,0,1,0
92,2,2,0,0,1,0
93,2,2,0,0,1,0
94,2,2,0,0,1,0
95,2,2,0,0,1,0
96,2,2,0,0,1,0
97,2,2,0,0,1,0
98,2,2,0,0,1,0
99,2,2,0,0,1,0
100,2,2,0,0,1,0
101,2,2,0,0,1,0
102,2,2,0,0,1,0
103,2,2,0,0,1,0
104,2,2,0,0,1,0
105,2,2,0,0,1,0
106,2,2,0,0,1,0
107,2,2,0,0,1,0
108,2,2,0,0,1,0
109,2,2,0,0,1,0
110,2,2,0,0,1,0
111,2,2,0,0,1,0
112,3,2,0,0,1,0
113,3,2,0,0,1,0
114,3,2,0,0,1,0
115,3,2,0,0,1,0
116,3,2,0,0,1,0
117,3,2,0,0,1,0
118,3,2,0,0,1,0
119,3,2,0,0,1,0
120,3,2,0,0,1,0
121,3,2,0,0,1,0
122,3,2,0,0,1,0
123,3,2,0,0,1,0
124,3,2,0,0,1,0
125,3,2,0,0,1,0
126,3,2,0,0,1,0
127,3,2,0,0,1,0
128,3,2,0,0,1,0
129,3,2,0,0,1,0
130,3,2,0,0,1,0
131,3,2,0,0,1,0
132,3,2,0,0,1,0
133,3,2,0,0,1,0
134,3,2,0,0,1,0
135,3,2,0,0,1,0
136,3,2,0,0,1,0
137,3,2,0,0,1,0
138,3,2,0,0,1,0
139,3,2,0,0,1,0
140,3,2,0,0,1,0
141,3,2,0,0,1,0
142,3,2,0,0,1,0
143,3,2,0,0,1,0
144,3,2,0,0,1,0
145,3,2,0,0,1,0
146,3,2,0,0,1,0
147,3,2,0,0,1,0
148,3,2,0,0,1,0
149,3,2,0,0,1,0
150,3,2,0,0,1,0
151,3,2,0,0,1,0
152,3,2,0,0,1,0
153,3,2,0,0,1,0
154,3,2,0,0,1,0
155,3,2,0,0,1,0
156,3,2,0,0,1,0
157,3,2,0,0,1,0
158,3,2,0,0,1,0
159,3,2,0,0,1,0
160,3,2,0,0,1,0
161,3,2,0,0,1,0
162,3,2,0,0,1,0
163,3,2,0,0,1,0
164,3,2,0,0,1,0
165,3,2,0,0,1,0
166,3,2,0,0,1,0
167,3,2,0,0,1,0
168,2,2,0,0,1,0
169,2,2,0,0,1,0
170,2,2,0,0,1,0
171,2,2,0,0,1,0
172,2,2,0,0,1,0
173,2,2,0,0,1,0
174,2,2,0,0,1,0
175,2,2,0,0,1,0
176,2,2,0,0,1,0
177,2,2,0,0,1,0
178,2,2,0,0,1,0
179,2,2,0,0,1,0
180,2,2,0,0,1,0
181,2,2,0,0,1,0
182,2,2,0,0,1,0
183,2,2,0,0,1,0
184,2,2,0,0,1,0
185,2,2,0,0,1,0
186,2,2,0,0,1,0
187,2,2,0,0,1,0
188,2,2,0,0,1,0
189,2,2,0,0,1,0
190,2,2,0,0,1,0
191,2,2,0,0,1,0
192,2,2,0,0,1,0
193,2,2,0,0,1,0
194,2,2,0,0,1,0
195,2,2,0,0,1,0
196,2,2,0,0,1,0
197,2,2,0,0,1,0
198,2,2,0,0,1,0
199,2,2,0,0,1,0
200,2,2,0,0,1,0
201,2,2,0,0,1,0
202,2,2,0,0,1,0
203,2,2,0,0,1,0
204,2,2,0,0,1,0
205,2,2,0,0,1,0
206,2,2,0,0,1,0
207,2,2,0,0,1,0
208,2,2,0,0,1,0
209,2,2,0,0,1,0
210,2,2,0,0,1,0
211,2,2,0,0,1,0
212,2,2,0,0,1,0
213,2,2,0,0,1,0
214,2,2,0,0,1,0
215,2,2,0,0,1,0
216,2,2,0,0,1,0
217,2,2,0,0,1,0
218,2,2,0,0,1,0
219,2,2,0,0,1,0
220,2,2,0,0,1,0
221,2,2,0,0,1,0
222,2,2,0,0,1,0
223,2,2,0,0,1,0
224,2,2,0,0,1,0
225,2,2,0,0,1,0
226,2,2,0,0,1,0
227,2,2,0,0,1,0
228,2,2,0,0,1,0
229,2,2,0,0,1,0
230,2,2,0,0,1,0
231,2,2,0,0,1,0
232,2,2,0,0,1,0
233,2,2,0,0,1,0
234,2,2,0,0,1,0
235,2,2,0,0,1,0
236,2,2,0,0,1,0
237,2,2,0,0,1,0
238,2,2,0,0,1,0
239,2,2,0,0,1,0
240,2,2,0,0,1,0
241,2,2,0,0,1,0
242,2,2,0,0,1,0
243,2,2,0,0,1,0
244,2,2,0,0,1,0
245,2,2,0,0,1,0
246,2,2,0,0,1,0
247,2,2,0,0,1,0
248,2,2,0,0,1,0
249,2,2,0,0,1,0
250,2,2,0,0,1,0
251,2,2,0,0,1,0
252,2,2,0,0,1,0
253,2,2,0,0,1,0
254,2,2,0,0,1,0
255,2,2,0,0,1,0
256,2,2,0,0,1,0
257,2,2,0,0,1,0
258,2,2,0,0,1,0
259,2,2,0,0,1,0
260,2,2,0,0,1,0
261,2,2,0,0,1,0
262,2,2,0,0,1,0
263,2,2,0,0,1,0
264,2,2,0,0,1,0
265,2,2,0,0,1,0
266,2,2,0,0,1,0
267,2,2,0,0,1,0
268,2,2,0,0,1,0
269,2,2,0,0,1,0
270,3,2,0,0,1,0
271,3,2,0,0,1,0
272,3,2,0,0,1,0
273,3,2,0,0,1,0
274,3,2,0,0,1,0
275,3,2,0,0,1,0
276,3,2,0,0,1,0
277,3,2,0,0,1,0
278,3,2,0,0,1,0
279,3,2,0,0,1,0
280,3,2,0,0,1,0
281,3,2,0,0,1,0
282,3,2,0,0,1,0
283,3,2,0,0,1,0
284,3,2,0,0,1,0
285,3,2,0,0,1,0
286,3,2,0,0,1,0
287,3,2,0,0,1,0
288,3,2,0,0,1,0
289,3,2,0,0,1,0
290,3,2,0,0,1,0
291,3,2,0,0,1,0
292,3,2,0,0,1,0
293,3,2,0,0,1,0
294,3,2,0,0,1,0
295,3,2,0,0,1,0
296,3,2,0,0,1,0
297,3,2,0,0,1,0
298,3,2,0,0,1,0
299,3,2,0,0,1,0
300,3,2,0,0,1,0
301,3,2,0,0,1,0
302,3,2,0,0,1,0
303,3,2,0,0,1,0
304,3,2,0,0,1,0
305,3,2,0,0,1,0
306,3,2,0,0,1,0
307,3,2,0,0,1,0
308,3,2,0,0,1,0
309,3,2,0,0,1,0
310,3,2,0,0,1,0
311,3,2,0,0,1,0
312,3,2,0,0,1,0
313,3,2,0,0,1,0
314,3,2,0,0,1,0
315,3,2,0,0,1,0
316,3,2,0,0,1,0
317,3,2,0,0,1,0
318,3,2,0,0,1,0
319,3,2,0,0,1,0
320,3,2,0,0,1,0
321,3,2,0,0,1,0
322,3,2,0,0,1,0
323,3,2,0,0,1,0
324,3,2,0,0,1,0
325,3,2,0,0,1,0
326,3,2,0,0,1,0
327,3,2,0,0,1,0
328,3,2,0,0,1,0
329,3,2,0,0,1,0
330,3,2,0,0,1,0
331,3,2,0,0,1,0
332,3,2,0,0,1,0
333,3,2,0,0,1,0
334,3,2,0,0,1,0
335,3,2,0,0,1,0
336,3,2,0,0,1,0
337,3,2,0,0,1,0
338,3,2,0,0,1,0
339,3,2,0,0,1,0
340,3,2,0,0,1,0
341,3,2,0,0,1,0
342,3,2,0,0,1,0
343,3,2,0,0,1,0
344,3,2,0,0,1,0
345,3,2,0,0,1,0
346,3,2,0,0,1,0
347,3,2,0,0,1,0
348,3,2,0,0,1,0
349,3,2,0,0,1,0
350,3,2,0,0,1,0
351,3,2,0,0,1,0
352,3,2,0,0,1,0
353,3,2,0,0,1,0
354,3,2,0,0,1,0
355,3,2,0,0,1,0
356,3,2,0,0,1,0
357,3,2,0,0,1,0
358,3,2,0,0,1,0
359,3,2,0,0,1,0
360,3,2,0,0,1,0
361,3,2,0,0,1,0
362,3,2,0,0,1,0
363,3,2,0,0,1,0
364,3,2,0,0,1,0
365,3,2,0,0,1,0
366,3,2,0,0,1,0
367,3,2,0,0,1,0
368,3,2,0,0,1,0
369,3,2,0,0,1,0
370,3,2,0,0,1,0
371,3,2,0,0,1,0
372,3,2,0,0,1,0
373,3,2,0,0,1,0
374,3,2,0,0,1,0
375,3,2,0,0,1,0
376,3,2,0,0,1,0
377,3,2,0,0,1,0
378,3,2,0,0,1,0
379,3,2,0,0,1,0
380,3,2,0,0,1,0
381,3,2,0,0,1,0
382,3,2,0,0,1,0
383,3,2,0,0,1,0
384,3,2,0,0,1,0
385,3,2,0,0,1,0
386,3,2,0,0,1,0
387,3,2,0,0,1,0
388,3,2,0,0,1,0
389,3,2,0,0,1,0
390,3,2,0,0,1,0
391,3,2,0,0,1,0
392,3,2,0,0,1,0
393,3,2,0,0,1,0
394,3,2,0,0,1,0
395,3,2,0,0,1,0
396,3,2,0,0,1,0
397,3,2,0,0,1,0
398,3,2,0,0,1,0
399,3,2,0,0,1,0
400,3,2,0,0,1,0
401,3,2,0,0,1,0
402,3,2,0,0,1,0
403,3,2,0,0,1,0
404,3,2,0,0,1,0
405,3,2,0,0,1,0
406,3,2,0,0,1,0
407,3,2,0,0,1,0
408,3,2,0,0,1,0
409,3,2,0,0,1,0
410,3,2,0,0,1,0
411,3,2,0,0,1,0
412,3,2,0,0,1,0
413,3,2,0,0,1,0
414,3,2,0,0,1,0
415,3,2,0,0,1,0
416,3,2,0,0,1,0
417,3,2,0,0,1,0
418,3,2,0,0,1,0
419,3,2,0,0,1,0
420,3,2,0,0,1,0
421,3,2,0,0,1,0
422,3,2,0,0,1,0
423,3,2,0,0,1,0
424,3,2,0,0,1,0
425,3,2,0,0,1,0
426,3,2,0,0,1,0
427,3,2,0,0,1,0
428,3,2,0,0,1,0
429,3,2,0,0,1,0
430,3,2,0,0,1,0
431,3,2,0,0,1,0
432,3,2,0,0,1,0
433,3,2,0,0,1,0
434,3,2,0,0,1,0
435,3,2,0,0,1,0
436,3,2,0,0,1,0
437,3,2,0,0,1,0
438,3,2,0,0,1,0
439,3,2,0,0,1,0
440,3,2,0,0,1,0
441,3,2,0,0,1,0
442,3,2,0,0,1,0
443,3,2,0,0,1,0
444,3,2,0,0,1,0
445,3,2,0,0,1,0
446,3,2,0,0,1,0
447,3,2,0,0,1,0
448,3,2,0,0,1,0
449,3,2,0,0,1,0
450,3,2,0,0,1,0
451,3,2,0,0,1,0
452,3,2,0,0,1,0
453,3,2,0,0,1,0
454,3,2,0,0,1,0
455,3,2,0,0,1,0
456,3,2,0,0,1,0
457,3,2,0,0,1,0
458,3,2,0,0,1,0
459,3,2,0,0,1,0
460,3,2,0,0,1,0
461,3,2,0,0,1,0
462,3,2,0,0,1,0
463,3,2,0,0,1,0
464,3,2,0,0,1,0
465,3,2,0,0,1,0
466,3,2,0,0,1,0
467,3,2,0,0,1,0
468,3,2,0,0,1,0
469,3,2,0,0,1,0
470,3,2,0,0,1,0
471,3,2,0,0,1,0
472,3,2,0,0,1,0
473,3,2,0,0,1,0
474,3,2,0,0,1,0
475,3,2,0,0,1,0
476,3,2,0,0,1,0
477,3,2,0,0,1,0
478,3,2,0,0,1,0
479,3,2,0,0,1,0
480,3,2,0,0,1,0
481,3,2,0,0,1,0
482,3,2,0,0,1,0
483,3,2,0,0,1,0
484,3,2,0,0,1,0
485,3,2,0,0,1,0
486,3,2,0,0,1,0
487,3,2,0,0,1,0
488,3,2,0,0,1,0
489,3,2,0,0,1,0
490,3,2,0,0,1,0
491,3,2,0,0,1,0
492,3,2,0,0,1,0
493,3,2,0,0,1,0
494,3,2,0,0,1,0
495,3,2,0,0,1,0
496,3,2,0,0,1,0
497,3,2,0,0,1,0
498,3,2,0,0,1,0
499,3,2,0,0,1,0
500,3,2,0,0,1,0
501,3,2,0,0,1,0
502,3,2,0,0,1,0
503,3,2,0,1,1,0
504,3,2,0,1,1,0
505,3,2,0,1,1,0
506,3,2,0,1,1,0
507,3,2,0,1,1,0
508,3,2,0,1,1,0
509,3,2,0,1,1,0
510,3,2,0,1,1,0
511,3,2,0,1,1,0
512,3,2,0,1,1,0
513,3,2,0,1,1,0
514,3,2,0,1,1,0
515,3,2,0,1,1,0
516,3,2,0,1,1,0
517,3,2,0,1,1,0
518,3,2,0,1,1,0
519,3,2,0,1,1,0
520,3,2,0,1,1,0
521,3,2,0,1,1,0
522,3,2,0,1,1,0
523,3,2,0,1,1,0
524,3,2,0,1,1,0
525,3,2,0,1,1,0
526,3,2,0,1,1,0
527,3,2,0,1,1,0
528,3,2,0,1,1,0
529,3,2,0,1,1,0
530,3,2,0,1,1,0
531,3,2,0,1,1,0
532,3,2,0,1,1,0
533,3,2,0,1,1,0
534,3,2,0,1,1,0
535,3,2,0,1,1,0
536,3,2,0,1,1,0
537,3,2,0,1,1,0
538,3,2,0,1,1,0
539,3,2,0,1,1,0
540,3,2,0,1,1,0
541,3,2,0,1,1,0
542,3,2,0,1,1,0
543,3,2,0,1,1,0
544,3,2,0,1,1,0
545,3,2,0,1,1,0
546,3,2,0,1,1,0
547,3,2,0,1,1,0
548,3,2,0,1,1,0
549,3,2,0,1,1,0
550,3,2,0,1,1,0
551,3,2,0,1,1,0
552,3,2,0,1,1,0
553,4,2,0,1,1,0
554,4,2,0,1,1,0
555,4,2,0,1,1,0
556,4,2,0,1,1,0
557,4,2,0,1,1,0
558,4,2,0,1,1,0
559,4,2,0,1,1,0
560,4,2,0,1,1,0
561,4,2,0,1,1,0
562,4,2,0,1,1,0
563,4,2,0,1,1,0
564,4,2,0,1,1,0
565,4,2,0,1,1,0
566,4,2,0,1,1,0
567,4,2,0,1,1,0
568,4,2,0,2,1,0
569,4,2,0,2,1,0
570,4,2,0,2,1,0
571,4,2,0,2,1,0
572,4,2,0,2,1,0
573,4,2,0,2,1,0
574,4,2,0,2,1,0
575,4,2,0,2,1,0
576,4,2,0,2,1,0
577,4,2,0,2,1,0
578,4,2,0,2,1,0
579,4,2,0,2,1,0
580,4,2,0,2,1,0
581,4,2,0,2,1,0
582,4,2,0,2,1,0
583,4,2,0,2,1,0
584,4,2,0,2,1,0
585,4,2,0,2,1,0
586,4,2,0,2,1,0
587,4,2,0,2,1,0
588,4,2,0,2,1,0
589,4,2,0,2,1,0
590,4,2,0,2,1,0
591,4,2,0,2,1,0
592,4,2,0,2,1,0
593,4,2,0,2,1,0
594,4,2,0,2,1,0
595,4,2,0,2,1,0
596,4,2,0,2,1,0
597,4,2,0,2,1,0
598,4,2,0,2,1,0
599,4,2,0,2,1,0
600,4,2,0,2,1,0
601,4,2,0,2,1,0
602,4,2,0,2,1,0
603,4,2,0,2,1,0
604,4,2,0,2,1,0
605,4,2,0,2,1,0
606,4,2,0,2,1,0
607,4,2,0,2,1,0
608,4,2,0,2,1,0
609,4,2,0,2,1,0
610,4,2,0,2,1,0
611,4,2,0,2,1,0
612,4,2,0,2,1,0
